twitter,last_name,party,DoF,trump_margin
REPHASTINGSFL,Hastings,Democrat,0.1877677470460248,-62.1
REPLOISFRANKEL,Frankel,Democrat,-1.1140352432460294,-19.5
REPTEDDEUTCH,Deutch,Democrat,-0.6461121637150926,-15.799999999999997
REPDWSTWEETS,Wasserman Schultz,Democrat,-2.8783214434117474,-26.1
REPWILSON,Wilson,Democrat,-1.29689930039584,-67.5
MARIODB,Diaz-Balart,Republican,0.7882680828668372,1.8000000000000043
REPDMP,Mucarsel-Powell,Democrat,-0.7131188522118385,-16.299999999999997
REPSHALALA,Shalala,Democrat,-1.2933589426905916,-19.6
REPBUDDYCARTER,Carter,Republican,4.392317422778761,15.5
SANFORDBISHOP,Bishop,Democrat,3.169925001442312,-11.700000000000003
REPHANKJOHNSON,Johnson,Democrat,-0.11091590140185059,-53.099999999999994
REPROBWOODALL,Woodall,Republican,2.5442380741516777,6.300000000000004
AUSTINSCOTTGA08,Scott,Republican,4.643856189774724,28.9
REPDOUGCOLLINS,Collins,Republican,4,58.5
CONGRESSMANHICE,Hice,Republican,5.129283016944966,25.5
REPLOUDERMILK,Loudermilk,Republican,4.459431618637297,25
REPRICKALLEN,Allen,Republican,4.954196310386875,16.199999999999996
REPTOMGRAVES,Graves,Republican,2.807354922057604,52.9
TULSIPRESS,Gabbard,Democrat,0.5849625007211562,-31.799999999999997
REPCINDYAXNE,Axne,Democrat,1.584962500721156,3.5
STEVEKINGIA,King,Republican,1.440420720756767,27.4
REPBOBBYRUSH,Rush,Democrat,-1.043943347587597,-54.00000000000001
REPROBINKELLY,Kelly,Democrat,0.07860983469636647,-58.9
REPLIPINSKI,Lipinski,Democrat,0.5849625007211562,-15.300000000000004
REPCHUYGARCIA,García,Democrat,-1.3621579396758952,-68.89999999999999
REPMIKEQUIGLEY,Quigley,Democrat,-1.5649048483799026,-46.6
REPCASTEN,Casten,Democrat,-2.77595972578207,-7
CONGRESSMANRAJA,Krishnamoorthi,Democrat,-0.2636115992965395,-21.700000000000003
JANSCHAKOWSKY,Schakowsky,Democrat,-0.39024503782755654,-45.199999999999996
REPSCHNEIDER,Schneider,Democrat,1.151858816727005,-29.4
REPBILLFOSTER,Foster,Democrat,0.5849625007211562,-23.5
REPBOST,Bost,Republican,4.321928094887363,14.799999999999997
RODNEYDAVIS,Davis,Republican,4.523561956057013,5.5
REPCHERI,Bustos,Democrat,0.05241589415113853,0.6999999999999957
REPLAHOOD,LaHood,Republican,5.087462841250339,27.300000000000004
REPWALORSKI,Walorski,Republican,4.247927513443585,23.199999999999996
REPJIMBANKS,Banks,Republican,3.3923174227787602,34.99999999999999
SUSANWBROOKS,Brooks,Republican,3,11.800000000000004
REPGREGPENCE,Pence,Republican,2.115366236609782,40.300000000000004
REPANDRECARSON,Carson,Democrat,-0.3004483674769107,-22.799999999999997
REPLARRYBUCSHON,Bucshon,Republican,3.8579809951275723,33.699999999999996
REP_WATKINS,Watkins,Republican,3.321928094887362,18.4
REPRONESTES,Estes,Republican,1.8363281339239785,27.200000000000003
